Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
test_infinity2.bch,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex4_1_5.bch,7,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex14_2_7.bch,7,108,0,0,0,0,0,0,0,0,3987,0,0,18796,0,0,0,0,0,16,0,0,0,0,0,0,0,0,26,0,0,34,0,0,0,0,0
pressure-vessel.bch,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
like.bch,7,8727709,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_4.bch,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex9_1_8.bch,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batch,7,502,0,0,0,0,0,0,0,0,1507,0,0,21043,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
ex2_1_7,7,828,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ex6_1_2.bch,7,20,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
dualc8,7,49,0,0,0,0,0,0,0,0,1601,0,0,80901,15,0,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0
polak5,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aircraftb,7,1141,0,0,0,0,0,0,0,0,2263,0,0,5101,0,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,70,0,0,0,0,0
ex4_1_8.bch,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs108,7,185,0,0,0,0,0,0,0,0,1011,3,0,36664,22,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,29,0,0,0,0,0
hs093,7,33,0,0,0,0,0,0,0,0,294,0,0,52037,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
hs117,7,268,0,0,0,0,0,0,0,0,1551,0,0,12737,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,71,0,0,0,0,0
chem.bch,7,33,0,0,0,0,0,0,0,0,288,0,0,18396,11,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0
ex2_1_9.bch,7,139,0,0,0,0,0,0,0,0,2173,0,0,1771,0,0,0,0,0,16,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
ex2_1_8,7,860,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ex14_1_9.bch,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,7,36,0,0,0,0,0,0,0,0,359,0,0,23189,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
like-1.bch,7,7430121,6503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_4.bch,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exinfinity2.bch,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc1,7,171,1,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
ex7_3_5bis.bch,7,4462280,5927,0,0,0,0,0,0,0,583620,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex8_4inf-1.bch,7,300,1,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs110,7,7209,24,0,0,0,0,0,0,0,655,7,0,4997,7,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0
ex8_1_8.bch,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_2_11.bch,7,40,0,0,0,0,0,0,0,0,854,1,0,38397,82,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,0
chembis.bch,7,32,0,0,0,0,0,0,0,0,253,2,0,20992,53,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0
