Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 1599.794656, 1322.319997
S[01]: 265.670055, 1699.779955
S[02]: 9.905844, 15.911746
S[03]: 357.772294, -46.856668
S[04]: 29.476299, -85.963390
S[05]: -30.023672, -176.516343
S[06]: 0.000000, 0.000000
S[07]: 0.000000, 0.000000
S[08]: 0.000000, 0.000000
S[09]: 184.930796, -14.875943
S[10]: 207.484734, 9.064045
S[11]: -31.385111, -18.492209
S[12]: -31.562083, -182.296460
S[13]: -31.688676, -182.177093
S[14]: -32.101412, -182.112673
S[15]: 0.000000, 0.000000
S[16]: 0.000000, 0.000000
S[17]: 0.000000, 0.000000
S[18]: 3877.007113, 2291.105295
S[19]: 197.596480, 1387.342654
S[20]: 0.000000, 0.000000
S[21]: 359.235686, 0.000000
S[22]: -0.059892, -8.725295
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 480.357768, 167.468484
S[28]: -0.029408, 77.068708
S[29]: 0.000000, 0.000000
S[30]: 138.006425, -100.578649
S[31]: 1.464599, -91.607257
S[32]: -0.117050, -14.864901
S[33]: 0.000000, 0.000000
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
