Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 371.693836, 245.144341
S[01]: 108.127464, 205.095614
S[02]: 4.521176, 159.782612
S[03]: 170.460943, -54.564172
S[04]: -0.529054, -140.670906
S[05]: -24.310953, -168.295573
S[06]: 102.081904, -14.541863
S[07]: -3.747760, -52.536858
S[08]: -25.103208, -371.966456
S[09]: 55.246119, -35.480466
S[10]: -29.244604, -46.797608
S[11]: -20.371267, -34.013722
S[12]: -12.946136, -153.091204
S[13]: -23.344521, -158.696771
S[14]: -24.057055, -165.707086
S[15]: -24.372087, -321.048491
S[16]: -25.280167, -334.726358
S[17]: -25.073715, -355.921484
S[18]: 3.116512, 455.224162
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 241.029406, -10.554651
S[28]: 22.940140, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 15.401672, -117.606161
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: 12.286957, 0.000000
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
