Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,344,15,0,0,0,0,0,0,0,1043,219,0,10008,2418,47,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0
batch,999,269,7,0,0,0,0,0,0,0,992,382,2,10217,2785,129,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,0,0
batch,1337,243,10,0,0,0,13,0,0,0,2031,696,2,6866,2284,265,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0
hs108,7,42,3,0,0,0,32,0,0,0,358,210,12,12553,5210,539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
hs108,999,43,2,0,1,1,21,0,0,0,400,216,8,12726,6297,740,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
hs108,1337,39,1,0,0,0,17,0,0,0,375,188,57,11963,6879,1118,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
dualc8,7,94,2,0,0,0,440,0,0,0,877,527,68,54248,35434,8219,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
dualc8,999,50,1,0,0,7,644,0,0,0,716,540,155,51503,37236,10461,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0
dualc8,1337,44,1,0,4,48,870,0,0,0,783,630,134,47181,37277,12202,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
optmass,7,98,7,0,0,0,174,0,0,2,94,46,0,4742,4278,1803,1439,1142,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,100,6,0,0,0,317,0,0,27,56,48,43,4560,4422,1962,1411,1241,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,90,6,0,0,0,426,0,0,56,40,59,43,4228,4354,2273,1462,1408,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,1509,316,129,0,0,207,0,0,0,363,326,152,446,498,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,999,53,68,145,0,0,0,0,0,0,200,239,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,1337,55,68,120,15,30,171,0,0,0,163,193,30,628,598,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,7,62,102,76,58,87,755,0,0,0,267,267,115,2070,2741,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,999,77,107,77,0,12,1021,0,0,0,186,272,275,1632,2167,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,1337,62,89,118,15,41,1296,0,0,0,105,122,124,1574,2120,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,7,15,30,188,97,122,15114,17,32,12735,88,144,112,13790,19412,20038,11930,17456,17254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,999,15,30,330,38,62,16814,0,0,16057,77,86,55,12009,17539,19482,11356,17004,17466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
hs103,1337,15,30,232,81,188,20018,56,84,17092,84,131,84,12258,18376,20803,10068,15468,16637,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ex14_2_7.bch,7,302,172,1544,3,0,80,0,0,0,993,1383,1076,35,78,115,0,0,0,4,0,0,0,0,0,0,0,0,24,1,0,7,0,0,0,0,0
ex14_2_7.bch,999,122,164,1040,0,0,0,0,0,0,1670,1536,1321,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
ex14_2_7.bch,1337,121,125,555,15,30,107,0,0,0,1748,1384,465,70,71,108,0,0,0,5,0,0,0,0,0,0,0,0,112,9,0,0,0,0,0,0,0
ex2_1_7,7,191,234,88,0,0,0,0,0,0,426,194,128,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
ex2_1_7,999,264,344,8,0,0,0,0,0,0,389,220,69,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
ex2_1_7,1337,608,34,1,0,0,0,0,0,0,277,337,134,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,7,31,2,1,43,60,9586,0,0,34885,26,60,107,1633,2693,3496,5578,9781,13826,1,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0
chem.bch,999,31,2,1,63,113,9385,16,30,37514,33,60,110,1458,2546,3493,5019,9003,13030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,1337,30,2,2,0,0,9856,15,17,38872,40,60,110,1414,2433,3357,4887,8762,12695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
