Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,104,19,0,0,0,0,0,0,0,1604,298,0,9452,2275,44,0,0,0,58,2,0,0,0,0,0,0,0,14,0,0,128,13,0,0,0,0
batch,999,211,34,0,0,0,0,0,0,0,1096,241,0,9241,2562,129,0,0,0,29,0,0,0,0,0,0,0,0,10,0,0,139,23,0,0,0,0
batch,1337,268,7,0,0,0,13,0,0,0,1008,392,0,8382,2824,277,0,0,0,15,0,0,0,0,0,0,0,0,39,2,0,118,6,0,0,0,0
hs108,7,49,1,0,0,0,32,0,0,0,468,191,2,12848,5461,496,0,0,0,34,4,0,0,0,0,0,0,0,21,2,0,86,5,0,0,0,0
hs108,999,25,2,0,0,0,23,0,0,0,669,326,7,10809,5317,592,0,0,0,19,5,0,0,0,0,0,0,0,55,5,0,30,6,0,0,0,0
hs108,1337,74,4,0,0,0,17,0,0,0,379,173,3,10380,5891,922,0,0,0,41,3,0,0,0,0,0,0,0,39,10,0,82,11,0,0,0,0
dualc8,7,16,1,0,0,0,440,0,0,0,683,517,108,53731,35129,8174,0,0,0,32,1,0,0,0,0,0,0,0,57,10,0,90,7,0,0,0,0
dualc8,999,45,1,0,0,0,651,0,0,0,821,590,162,51931,37739,10682,0,0,0,42,2,0,0,0,0,0,0,0,63,0,0,157,36,0,0,0,0
dualc8,1337,38,2,0,0,0,911,0,0,0,674,639,125,46315,36705,12102,0,0,0,26,1,0,2,0,0,0,0,0,65,10,0,190,32,0,0,0,0
optmass,7,98,7,0,0,0,174,0,0,2,94,46,0,4742,4278,1803,1415,1122,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,100,6,0,0,0,317,0,0,27,56,48,43,4560,4422,1962,1411,1233,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,90,6,0,0,0,426,0,0,56,40,59,43,4228,4354,2273,1489,1427,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,1514,148,5,0,0,195,0,0,0,294,238,42,479,560,410,0,0,0,47,2,0,15,2,0,0,0,0,17,5,0,35,5,0,0,0,0
himmel16.bch,999,53,61,113,0,0,0,0,0,0,311,370,175,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,1337,55,45,52,0,0,141,0,0,0,270,315,103,97,122,72,0,0,0,44,2,0,0,0,0,0,0,0,39,10,0,0,0,0,0,0,0
ex6_1_3.bch,7,27,22,160,0,2,765,0,0,0,106,152,143,1874,2559,1941,0,0,0,28,1,0,29,0,0,0,0,0,15,5,0,73,20,0,0,0,0
ex6_1_3.bch,999,15,20,73,0,0,1241,0,0,0,171,192,178,2086,2799,2268,0,0,0,28,1,0,0,0,0,0,0,0,15,5,0,99,30,0,0,0,0
ex6_1_3.bch,1337,29,39,62,0,96,1389,0,0,0,206,267,164,1758,2478,2152,0,0,0,16,1,0,32,15,0,0,0,0,32,10,0,123,26,0,0,0,0
hs103,7,15,35,313,0,90,15550,0,2,12491,112,113,15,14241,20093,20816,11887,17473,17135,0,0,0,100,26,0,36,6,0,15,5,0,55,15,0,84,20,0
hs103,999,15,30,330,0,49,16814,0,0,16057,72,86,55,11804,17487,19482,11308,16994,17466,0,0,0,38,13,0,0,0,0,5,0,0,205,52,0,54,10,0
hs103,1337,15,30,232,0,162,20018,0,69,17092,79,131,84,11986,18305,20803,10020,15458,16637,0,0,0,81,26,0,56,15,0,5,0,0,274,71,0,48,10,0
ex14_2_7.bch,7,1,0,956,0,93,925,0,0,0,561,916,828,392,654,533,0,0,0,94,8,0,62,10,0,0,0,0,135,20,0,73,15,0,0,0,0
ex14_2_7.bch,999,1,279,2034,0,0,0,0,0,0,823,1294,1220,0,0,0,0,0,0,268,65,0,0,0,0,0,0,0,225,31,0,0,0,0,0,0,0
ex14_2_7.bch,1337,1,180,1814,0,0,0,0,0,0,744,1168,1035,0,0,0,0,0,0,267,45,0,0,0,0,0,0,0,150,30,0,0,0,0,0,0,0
ex2_1_7,7,103,227,195,0,0,0,0,0,0,157,213,214,0,0,0,0,0,0,97,30,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0
ex2_1_7,999,353,156,4,0,0,0,0,0,0,195,303,111,0,0,0,0,0,0,112,22,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0
ex2_1_7,1337,393,26,1,0,0,0,0,0,0,275,382,117,0,0,0,0,0,0,72,15,0,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0
chem.bch,7,1,1,2,0,0,9214,0,37,34192,36,55,109,1623,2713,3420,5273,9284,13185,15,5,0,0,0,0,30,10,0,15,5,0,55,10,0,0,0,0
chem.bch,999,1,1,2,0,0,9522,0,25,37187,48,60,110,1451,2562,3404,4914,8820,12736,15,5,0,0,0,0,15,5,0,0,0,0,61,15,0,16,5,0
chem.bch,1337,30,2,2,0,0,9856,0,12,38872,40,60,110,1389,2428,3357,4876,8757,12695,0,0,0,0,0,0,15,5,0,0,0,0,25,5,0,15,5,0
