Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 650.743767, 455.279709
S[01]: 154.617474, 404.816644
S[02]: -24.563556, 135.572202
S[03]: 137.074155, -92.882548
S[04]: -0.918545, -141.832516
S[05]: -23.946601, -177.294681
S[06]: 151.188171, -52.623784
S[07]: -4.486258, -91.805685
S[08]: -24.904284, -372.397401
S[09]: 82.164871, 29.099600
S[10]: -29.966779, -39.129527
S[11]: -11.491100, -5.322115
S[12]: -19.542017, -161.334259
S[13]: -23.759557, -169.390522
S[14]: -23.388820, -175.542286
S[15]: -23.641461, -316.985393
S[16]: -24.804873, -337.855457
S[17]: -24.175835, -358.599357
S[18]: 834.659445, 59.081658
S[19]: 1.137341, 494.556969
S[20]: -0.039025, 15.204320
S[21]: 17.948147, -23.472603
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: -0.426600, -18.643130
S[25]: -0.020704, -18.483899
S[26]: 0.000000, 0.000000
S[27]: 747.527407, 17.188591
S[28]: 22.468216, -7.645193
S[29]: 1.380730, 62.373382
S[30]: 186.153036, -146.259023
S[31]: -11.456791, -100.389002
S[32]: -0.187750, -21.825997
S[33]: 106.028303, -31.402133
S[34]: -4.865033, -17.870129
S[35]: 0.000000, 0.000000
