Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,104,19,0,0,0,0,0,0,0,1605,298,0,9477,2278,44,0,0,0,58,2,0,0,0,0,0,0,0,13,0,0,103,10,0,0,0,0
batch,999,220,34,0,0,0,0,0,0,0,1096,241,0,9275,2570,129,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,105,15,0,0,0,0
batch,1337,268,7,0,0,0,13,0,0,0,1024,394,0,8422,2830,277,0,0,0,15,0,0,0,0,0,0,0,0,23,0,0,78,0,0,0,0,0
hs108,7,49,1,0,0,0,32,0,0,0,484,193,2,12873,5466,496,0,0,0,34,4,0,0,0,0,0,0,0,5,0,0,61,0,0,0,0,0
hs108,999,23,1,0,0,0,23,0,0,0,587,313,37,11340,5573,630,0,0,0,19,6,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0
hs108,1337,47,2,0,0,0,17,0,0,0,362,233,76,12390,7208,1302,0,0,0,60,3,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
dualc8,7,16,1,0,0,0,440,0,0,0,684,502,108,53763,35136,8174,0,0,0,32,1,0,0,0,0,0,0,0,56,25,0,58,0,0,0,0,0
dualc8,999,45,1,0,0,0,651,0,0,0,853,590,162,51979,37738,10682,0,0,0,42,2,0,0,0,0,0,0,0,31,0,0,109,37,0,0,0,0
dualc8,1337,38,2,0,2,0,911,0,0,0,699,649,125,46389,36731,12102,0,0,0,26,1,0,0,0,0,0,0,0,40,0,0,116,6,0,0,0,0
optmass,7,98,7,0,0,0,174,0,0,2,94,46,0,4742,4278,1803,1415,1122,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,100,6,0,0,0,317,0,0,27,56,48,43,4560,4422,1962,1396,1216,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,90,6,0,0,0,426,0,0,56,40,59,43,4228,4354,2273,1461,1408,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,1531,203,198,0,6,1,0,0,0,330,314,227,369,416,124,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0
himmel16.bch,999,40,60,158,0,0,35,0,0,0,189,235,163,330,363,141,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,42,4,0,0,0,0
himmel16.bch,1337,40,68,120,15,30,171,0,0,0,157,193,30,513,556,190,0,0,0,15,0,0,0,0,0,0,0,0,6,0,0,115,42,0,0,0,0
ex6_1_3.bch,7,39,22,160,29,2,765,0,0,0,121,157,143,1941,2579,1941,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ex6_1_3.bch,999,72,107,77,0,12,1021,0,0,0,186,272,275,1632,2167,1613,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,1337,51,59,89,30,38,1379,0,0,0,112,151,111,1686,2294,2259,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,7,15,30,304,68,67,15139,2,18,12566,75,88,55,13673,19311,20070,11915,17408,17165,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,22,1,0
hs103,999,15,30,191,68,101,17593,18,30,13806,95,141,94,12689,18619,20621,9978,14879,14952,0,0,0,0,0,0,0,0,0,5,0,0,54,14,0,33,1,0
hs103,1337,15,30,188,111,180,19637,33,43,16959,102,156,111,11878,17923,20364,10095,15508,16608,0,0,0,0,0,0,15,2,0,5,0,0,86,14,0,25,18,0
ex14_2_7.bch,7,33,60,1881,0,0,0,0,0,0,1007,1364,1234,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,194,129,21,0,0,0,0,0,0
ex14_2_7.bch,999,28,0,630,38,60,503,0,0,0,1437,1459,1077,258,313,262,0,0,0,108,7,4,0,0,0,0,0,0,266,225,86,28,0,0,0,0,0
ex14_2_7.bch,1337,131,220,19,0,0,0,0,0,0,4070,2924,1023,0,0,0,0,0,0,126,2,0,0,0,0,0,0,0,192,200,4,0,0,0,0,0,0
ex2_1_7,7,344,119,5,0,0,0,0,0,0,261,197,210,0,0,0,0,0,0,75,3,0,0,0,0,0,0,0,27,30,1,0,0,0,0,0,0
ex2_1_7,999,508,30,1,0,0,0,0,0,0,404,142,94,0,0,0,0,0,0,123,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,1337,536,32,0,0,0,0,0,0,0,473,231,4,0,0,0,0,0,0,102,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
chem.bch,7,2,0,0,17,30,8998,30,30,34293,79,122,4,1667,2677,3428,5228,9215,13099,30,2,0,0,0,0,0,0,0,0,0,0,22,30,2,0,0,0
chem.bch,999,16,1,0,0,0,9721,17,12,37007,77,123,4,1456,2521,3493,4929,8852,12810,15,1,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0
chem.bch,1337,30,2,0,19,60,9841,16,53,38645,79,124,4,1409,2420,3323,4874,8722,12611,0,0,0,0,0,0,0,0,0,0,0,0,19,30,8,17,12,0
