Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 211.069157, 138.995545
S[01]: 78.013119, 91.399316
S[02]: -19.353669, 23.495721
S[03]: 84.765005, -59.612060
S[04]: 1.995142, -137.632216
S[05]: -24.277906, -172.313219
S[06]: 85.777186, -19.461030
S[07]: -3.315571, -65.528279
S[08]: -25.173764, -366.759283
S[09]: 96.859534, -14.480867
S[10]: -22.355969, -53.201703
S[11]: -20.992367, -29.557523
S[12]: -15.825476, -159.917864
S[13]: -23.363332, -164.185044
S[14]: -24.045553, -170.157316
S[15]: -21.881520, -313.228721
S[16]: -25.219378, -331.773863
S[17]: -25.155171, -351.471784
S[18]: 3.105335, 206.358128
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 18.305381, -19.789958
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 429.856341, -25.518880
S[28]: 0.239383, 36.942401
S[29]: 0.000000, 0.000000
S[30]: 48.073824, -137.921606
S[31]: -14.292524, -22.983650
S[32]: 0.000000, 0.000000
S[33]: 69.405565, -27.716014
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
