Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,344,15,0,0,0,0,0,0,0,1043,219,0,10008,2418,47,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0
batch,999,269,7,0,0,0,0,0,0,0,992,382,2,10217,2785,129,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,22,0,0,0,0,0
batch,1337,243,10,0,0,0,13,0,0,0,2031,696,2,6866,2284,265,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0
hs108,7,42,3,0,0,0,32,0,0,0,358,210,12,12541,5210,539,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
hs108,999,43,2,0,1,1,21,0,0,0,400,216,8,12720,6297,740,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
hs108,1337,39,1,0,0,0,17,0,0,0,338,232,49,11166,6346,954,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0
dualc8,7,81,1,0,0,0,440,0,0,0,1029,606,114,54024,35272,8230,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0
dualc8,999,50,1,0,0,7,644,0,0,0,716,540,155,51503,37236,10461,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0
dualc8,1337,44,1,0,4,48,870,0,0,0,783,630,134,47181,37277,12202,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
optmass,7,98,7,0,0,0,174,0,0,2,94,46,0,4742,4278,1803,1413,1093,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,100,6,0,0,0,317,0,0,27,56,48,43,4560,4422,1962,1396,1216,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,90,6,0,0,0,426,0,0,56,40,59,43,4228,4354,2273,1489,1427,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,1230,98,7,0,0,25,0,0,0,300,399,220,229,178,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
himmel16.bch,999,63,68,110,0,0,35,0,0,0,246,273,87,95,127,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,1337,50,68,120,15,30,171,0,0,0,153,174,55,479,507,227,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,37,2,0,0,0,0
ex6_1_3.bch,7,62,102,76,58,87,755,0,0,0,267,267,115,2070,2741,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,999,77,107,77,0,12,1021,0,0,0,186,272,275,1632,2167,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,1337,62,89,118,15,41,1296,0,0,0,105,122,124,1574,2120,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,7,15,30,304,68,67,15139,2,18,12566,75,88,55,13691,19311,20070,11932,17409,17165,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0
hs103,999,15,30,330,38,62,16814,0,0,16057,77,86,55,12007,17539,19482,11331,17004,17466,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0
hs103,1337,15,30,232,81,188,20018,40,84,17092,84,131,84,12258,18376,20803,10063,15468,16637,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,5,0,0
ex14_2_7.bch,7,94,50,1654,0,0,91,0,0,0,1178,1835,1354,47,86,156,0,0,0,12,0,0,0,0,0,0,0,0,203,7,0,0,0,0,0,0,0
ex14_2_7.bch,999,121,74,1397,0,0,0,0,0,0,1945,1257,1206,31,58,8,0,0,0,10,0,0,0,0,0,0,0,0,101,6,0,0,0,0,0,0,0
ex14_2_7.bch,1337,97,119,1086,0,0,0,0,0,0,2154,1296,1079,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,188,7,0,0,0,0,0,0,0
ex2_1_7,7,344,312,8,0,0,0,0,0,0,545,63,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,999,643,37,2,0,0,0,0,0,0,295,231,172,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,1337,605,34,4,0,0,0,0,0,0,209,270,247,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
chem.bch,7,31,2,1,43,60,9586,0,0,34885,26,60,107,1633,2693,3496,5578,9781,13826,1,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0
chem.bch,999,31,2,1,63,113,9385,16,30,37468,33,60,110,1458,2546,3493,4989,8955,12975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,1337,30,2,2,0,0,9856,15,17,38746,40,60,110,1399,2433,3357,4872,8732,12640,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,0,0
