Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 455.462201, 322.433347
S[01]: -15.068742, -77.644431
S[02]: 0.000000, 0.000000
S[03]: -16.880649, -87.095692
S[04]: 0.000000, 0.000000
S[05]: 0.000000, 0.000000
S[06]: 0.000000, 0.000000
S[07]: 0.000000, 0.000000
S[08]: 0.000000, 0.000000
S[09]: -37.261658, -189.421902
S[10]: 0.000000, 0.000000
S[11]: 0.000000, 0.000000
S[12]: -11.186148, -158.587273
S[13]: 0.000000, -36.265391
S[14]: 0.000000, 0.000000
S[15]: -30.511705, -192.818184
S[16]: -0.760337, -167.746480
S[17]: 0.000000, 0.000000
S[18]: 538.004066, 387.305205
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 167.790355, -67.052736
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 194.957994, -134.870480
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: 8.962773, -164.336621
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
