Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 649.200890, -40.661661
S[01]: 66.304980, -61.342122
S[02]: -21.507336, -88.587318
S[03]: 190.979219, -223.764293
S[04]: -168.392875, -260.668696
S[05]: -135.294569, -237.753464
S[06]: -206.982547, -464.117320
S[07]: -216.214925, -408.628124
S[08]: -213.817543, -466.689097
S[09]: 129.104217, -145.113133
S[10]: 0.000000, 0.000000
S[11]: 0.000000, 0.000000
S[12]: -147.540763, -243.964695
S[13]: 0.000000, 0.000000
S[14]: 0.000000, 0.000000
S[15]: -221.707391, -446.599232
S[16]: 0.000000, 0.000000
S[17]: 0.000000, 0.000000
S[18]: 902.847382, 94.854934
S[19]: 74.624604, -16.900025
S[20]: 0.000000, 0.000000
S[21]: 335.701524, -124.603125
S[22]: 10.948678, -12.178827
S[23]: 0.000000, 0.000000
S[24]: 24.072246, -51.073098
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 18.305873, -17.632629
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 69.697118, -176.884247
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: 4.771972, -56.277109
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
