Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 247.628927, 157.107709
S[01]: 41.135098, 108.821119
S[02]: 4.957800, 26.974616
S[03]: 143.127053, -88.085373
S[04]: 18.869195, -64.773756
S[05]: -23.910831, -48.631822
S[06]: 130.515081, -123.716040
S[07]: -18.433117, -140.435308
S[08]: -25.308951, -374.251437
S[09]: 132.179947, -20.453490
S[10]: 27.841430, 10.773464
S[11]: -6.724171, 20.394837
S[12]: 74.702991, -48.441043
S[13]: -15.124265, -44.059924
S[14]: -16.207237, -60.157791
S[15]: -27.672848, -329.558844
S[16]: -25.220203, -352.935220
S[17]: -25.007975, -338.356042
S[18]: -0.556408, 256.064828
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 122.606416, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 21.301979, -13.827436
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 261.670600, 25.358570
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 270.619521, -121.674848
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: 71.663430, -46.063643
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
