Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,287,2,0,3,0,0,0,0,0,65,2,0,12836,840,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
batch,999,226,2,0,13,0,0,0,0,0,10,7,0,12582,1063,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
batch,1337,172,1,0,7,2,13,0,0,0,18,0,0,12588,1449,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
hs108,7,50,0,0,0,0,14,0,0,0,79,2,0,6807,1312,78,9448,1362,2,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
hs108,999,54,0,0,0,0,14,0,0,2,69,1,0,6962,1643,93,9166,1711,25,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
hs108,1337,47,0,0,0,0,16,0,0,1,114,24,0,6739,2027,98,8438,2151,30,3,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0
dualc8,7,51,0,0,0,0,63,1,0,372,79,19,0,8443,2690,175,53606,18270,992,5,0,0,0,0,0,0,0,0,24,0,0,11,0,0,7,0,0
dualc8,999,75,2,0,8,17,65,0,0,499,128,49,0,9040,3409,200,59932,23559,1596,5,0,0,0,0,0,0,0,0,1,0,0,9,0,0,3,0,0
dualc8,1337,58,0,0,0,0,123,0,0,808,101,74,0,9036,4302,418,57042,25407,2050,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
optmass,7,61,2,0,19,50,4,0,0,196,0,0,0,670,340,19,7982,4190,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,54,2,0,27,50,6,0,0,344,0,0,0,590,412,34,7848,4486,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,61,2,0,14,50,13,0,0,482,0,0,0,579,412,35,7693,4991,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,7,199,5,0,0,0,35,0,0,0,76,18,0,401,295,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,999,924,27,2,11,7,133,0,0,0,76,44,0,1078,877,133,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,0,0,0
himmel16.bch,1337,940,33,0,0,27,160,0,0,0,118,35,0,715,560,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ex6_1_3.bch,7,56,12,0,67,173,347,61,2,374,5,50,2,1418,1477,259,1670,1529,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,999,45,10,0,85,93,521,0,11,532,0,39,14,1541,1627,281,1232,1132,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,1337,42,12,0,60,108,710,25,30,609,25,29,1,1321,1576,368,1237,1127,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hs103,7,29,52,51,55,35,688,105,185,25844,0,0,0,1438,1649,410,37013,43414,12343,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0
hs103,999,26,45,1,22,5,1123,41,124,31912,25,24,0,1243,1519,487,35206,43494,13098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
hs103,1337,25,45,0,42,33,922,167,429,36117,25,29,0,1171,1406,408,33882,43426,13557,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,0
ex14_2_7.bch,7,63,48,136,92,165,1810,0,0,0,88,45,0,1723,1980,469,0,0,0,4,0,0,69,0,0,0,0,0,24,0,0,111,0,0,0,0,0
ex14_2_7.bch,999,94,18,0,92,416,1715,0,0,0,79,113,6,1579,1531,361,0,0,0,5,0,0,68,0,0,0,0,0,20,0,0,133,0,0,0,0,0
ex14_2_7.bch,1337,135,150,44,70,354,24,0,0,0,161,110,0,1922,2045,484,0,0,0,8,0,0,28,0,0,0,0,0,44,0,0,132,0,0,0,0,0
ex2_1_7,7,642,143,51,0,0,0,0,0,0,157,232,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,999,607,17,0,0,0,0,0,0,0,266,312,4,51,27,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
ex2_1_7,1337,647,17,0,0,0,1,0,0,0,199,294,4,91,60,25,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,7,26,1,0,0,0,7,62,155,42741,21,5,0,473,571,203,10847,16994,6646,1,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0
chem.bch,999,26,1,0,0,0,256,59,142,46095,25,6,0,359,494,151,10031,16352,6457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,1337,25,1,0,0,0,369,25,50,48299,21,5,0,316,443,144,9916,16197,6494,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0
