Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 226.620930, 155.989460
S[01]: 78.969861, 90.397483
S[02]: 10.951758, 4.269433
S[03]: 128.226448, -62.641681
S[04]: 0.667125, -151.001724
S[05]: -24.270011, -170.651223
S[06]: 85.776614, -19.524562
S[07]: -3.317512, -65.571552
S[08]: -25.198363, -369.532826
S[09]: 64.962352, -22.696340
S[10]: -28.729962, -48.455118
S[11]: -25.185860, -41.928122
S[12]: -14.592355, -151.442559
S[13]: -23.321135, -160.858693
S[14]: -24.076342, -167.991280
S[15]: -21.905878, -314.201769
S[16]: -25.253658, -332.946976
S[17]: -25.184403, -353.393849
S[18]: 3.116153, 221.099653
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 23.378071, -32.441092
S[22]: -0.053285, -8.270804
S[23]: 0.000000, 0.000000
S[24]: 18.303260, -19.797488
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 394.211867, -37.622043
S[28]: -5.173452, 35.143919
S[29]: 0.000000, 0.000000
S[30]: 67.399226, -124.457874
S[31]: -5.062937, -8.837386
S[32]: 0.000000, 0.000000
S[33]: 69.414411, -27.797340
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
