Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 260.608148, 186.935254
S[01]: 72.892917, 134.495236
S[02]: 49.939787, 21.767642
S[03]: 237.609332, -41.158882
S[04]: 56.077841, -84.581303
S[05]: -19.407248, -26.827463
S[06]: 229.209458, -149.038280
S[07]: -19.139216, -128.092100
S[08]: -24.774992, -376.699790
S[09]: 116.159886, -65.934211
S[10]: 29.942863, 1.107440
S[11]: 45.581872, 34.879776
S[12]: 110.884033, -11.240133
S[13]: -2.446801, -29.155638
S[14]: -15.837503, -21.063725
S[15]: -29.506997, -313.361805
S[16]: -24.416813, -332.856417
S[17]: -24.790601, -363.296019
S[18]: 29.624315, 281.595168
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 140.555560, -2.175977
S[22]: 43.555381, 0.000000
S[23]: 0.000000, 0.000000
S[24]: -0.013543, -18.080219
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 38.176917, -8.013105
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 241.680386, -101.802896
S[31]: 4.786960, -6.548015
S[32]: 0.000000, 0.000000
S[33]: 35.567414, -54.080511
S[34]: -0.028560, -34.945370
S[35]: 0.000000, 0.000000
