Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 348.965381, 185.389909
S[01]: 11.010711, 88.027817
S[02]: 0.000000, 0.000000
S[03]: -3.425507, -15.000247
S[04]: -2.182191, -58.561825
S[05]: 0.000000, 0.000000
S[06]: 0.000000, 0.000000
S[07]: 0.000000, 0.000000
S[08]: 0.000000, 0.000000
S[09]: -30.669174, -111.221698
S[10]: -18.899734, -6.453218
S[11]: 0.000000, 0.000000
S[12]: -25.456044, -170.346372
S[13]: -26.923623, -170.104884
S[14]: -41.189472, -157.883382
S[15]: -34.443455, -184.477090
S[16]: -33.325155, -184.263251
S[17]: -14.896840, -179.903482
S[18]: 29.624658, 172.231661
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: -0.106417, 7.213777
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 11.076047, -152.339235
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: -0.065256, -16.377338
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
