Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,65,0,0,3,0,0,0,0,0,0,0,0,11430,2741,47,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0
batch,999,215,5,0,5,2,0,0,0,0,14,1,0,10703,2991,129,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
batch,1337,196,6,0,12,12,0,0,0,0,13,0,0,10147,3331,259,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
hs108,7,51,3,0,0,0,0,0,0,0,75,3,0,5111,2206,261,8078,3354,266,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0
hs108,999,44,2,0,0,0,0,0,0,0,52,17,0,5509,2670,421,7575,3814,346,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
hs108,1337,101,3,0,0,0,0,0,0,0,120,4,0,5477,3155,608,6120,3539,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dualc8,7,72,1,0,0,0,0,0,0,0,125,34,0,6856,4353,1180,69088,45022,10609,7,0,0,0,0,0,0,0,0,0,0,0,12,0,0,10,0,0
dualc8,999,50,1,0,0,0,0,0,0,0,118,95,2,6588,4676,1530,44904,32449,9683,5,0,0,0,0,0,0,0,0,1,0,0,9,0,0,2,0,0
dualc8,1337,44,1,0,0,0,0,0,0,0,98,63,16,6487,5229,2019,40787,32183,11110,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0
optmass,7,61,4,0,7,30,2,0,0,0,0,0,0,493,436,126,5760,5023,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,60,3,0,10,30,36,0,0,0,0,0,0,419,431,194,5504,5158,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,56,3,0,4,30,47,0,0,0,0,0,0,401,431,195,5295,5356,3167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,7,578,26,0,0,0,0,0,0,0,247,271,142,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,999,581,29,0,0,0,0,0,0,0,218,208,130,97,112,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,1337,653,32,0,0,0,0,0,0,0,156,180,225,25,27,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chem.bch,7,31,2,0,0,0,0,0,0,0,11,2,0,325,436,465,5315,6616,7434,1,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0
