Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 531.429751, 397.474258
S[01]: 37.882970, 316.321190
S[02]: -0.035087, 39.247813
S[03]: 466.264331, -41.518959
S[04]: 9.232428, -55.086359
S[05]: -19.434316, -23.494358
S[06]: 306.355251, -109.002736
S[07]: -15.690500, -136.883125
S[08]: -24.721490, -381.234905
S[09]: 99.562094, -13.291812
S[10]: 11.764620, 22.010506
S[11]: 133.951634, 11.619075
S[12]: 104.569311, -41.014257
S[13]: -11.037859, -23.943380
S[14]: 4.953851, -18.954568
S[15]: -29.805713, -314.629804
S[16]: -24.971861, -338.918915
S[17]: -24.595742, -365.789635
S[18]: 677.482065, 41.341765
S[19]: 26.812279, 355.820980
S[20]: 0.000000, 0.000000
S[21]: 170.205458, -4.516617
S[22]: 4.790783, -5.656251
S[23]: -0.035167, -2.465309
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 93.888924, -9.583187
S[28]: 5.476322, -8.244009
S[29]: 0.000000, 0.000000
S[30]: 278.451016, -113.203415
S[31]: 8.067074, -57.604394
S[32]: 0.000000, 0.000000
S[33]: 2.948092, -92.807393
S[34]: 1.559216, 0.000000
S[35]: 0.000000, 0.000000
