Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 74.770918, 9.909696
S[01]: 0.000000, 0.000000
S[02]: 0.000000, 0.000000
S[03]: 0.000000, 0.000000
S[04]: 0.000000, 0.000000
S[05]: 0.000000, 0.000000
S[06]: 0.000000, 0.000000
S[07]: 0.000000, 0.000000
S[08]: 0.000000, 0.000000
S[09]: -nan, -nan
S[10]: 0.000000, 0.000000
S[11]: 0.000000, 0.000000
S[12]: -32.703032, -189.832998
S[13]: 0.000000, 0.000000
S[14]: 0.000000, 0.000000
S[15]: -33.555509, -191.248667
S[16]: 0.000000, 0.000000
S[17]: 0.000000, 0.000000
S[18]: 0.000000, 0.000000
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: inf, 0.000000
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 3.225360, -43.864320
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: -0.097355, -42.550970
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
