Q_TABLE (Alpha=0.1, Gamma=0.99)
S[00]: 199.641655, 117.370059
S[01]: -9.988586, -82.989047
S[02]: 0.000000, 0.000000
S[03]: -17.957044, -96.275840
S[04]: 0.000000, 0.000000
S[05]: 0.000000, 0.000000
S[06]: 0.000000, 0.000000
S[07]: 0.000000, 0.000000
S[08]: 0.000000, 0.000000
S[09]: -28.794762, -181.206910
S[10]: -0.597964, -127.607573
S[11]: 0.000000, 0.000000
S[12]: -8.144546, -155.070344
S[13]: -0.518243, -143.314268
S[14]: 0.000000, 0.000000
S[15]: -34.765075, -196.736242
S[16]: -3.073879, -177.530840
S[17]: 0.000000, 0.000000
S[18]: 164.336856, 152.312504
S[19]: 0.000000, 0.000000
S[20]: 0.000000, 0.000000
S[21]: 0.000000, 0.000000
S[22]: 0.000000, 0.000000
S[23]: 0.000000, 0.000000
S[24]: 0.000000, 0.000000
S[25]: 0.000000, 0.000000
S[26]: 0.000000, 0.000000
S[27]: 265.614770, -101.907444
S[28]: 0.000000, 0.000000
S[29]: 0.000000, 0.000000
S[30]: 87.494643, -149.052080
S[31]: 0.000000, 0.000000
S[32]: 0.000000, 0.000000
S[33]: 27.221117, -106.875599
S[34]: 0.000000, 0.000000
S[35]: 0.000000, 0.000000
