Problema,Semilla,S[00],S[01],S[02],S[03],S[04],S[05],S[06],S[07],S[08],S[09],S[10],S[11],S[12],S[13],S[14],S[15],S[16],S[17],S[18],S[19],S[20],S[21],S[22],S[23],S[24],S[25],S[26],S[27],S[28],S[29],S[30],S[31],S[32],S[33],S[34],S[35]
batch,7,370,0,0,0,0,0,0,0,0,350,0,0,24640,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
batch,42,319,0,0,0,0,0,0,0,0,980,0,0,23750,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0
batch,999,437,0,0,0,0,0,0,0,0,456,0,0,23666,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,30,0,0,0,0,0
batch,1337,251,0,0,0,0,0,0,0,0,405,0,0,23279,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0
hs108,7,100,0,0,0,0,0,0,0,0,499,0,0,37304,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0
hs108,42,161,0,0,0,0,0,0,0,0,483,0,0,33884,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0
hs108,999,52,0,0,0,0,0,0,0,0,574,0,0,50574,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,24,0,0,0,0,0
hs108,1337,56,0,0,0,0,0,0,0,0,586,0,0,49797,0,0,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,16,0,0,0,0,0
dualc8,7,63,0,0,0,0,0,0,0,0,591,0,0,70234,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,24,0,0,0,0,0
dualc8,42,73,0,0,0,0,0,0,0,0,521,0,0,75600,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,29,0,0,0,0,0
dualc8,999,52,0,0,0,0,0,0,0,0,649,0,0,75040,0,0,1081,0,0,6,0,0,0,0,0,0,0,0,8,0,0,27,0,0,0,0,0
dualc8,1337,49,0,0,0,0,0,0,0,0,616,0,0,91880,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,34,0,0,0,0,0
himmel16.bch,7,2279561,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,42,2279555,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,999,2290228,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
himmel16.bch,1337,2282885,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex6_1_3.bch,7,44,0,0,0,0,0,0,0,0,153,0,0,29908,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ex6_1_3.bch,42,74,0,0,0,0,0,0,0,0,322,0,0,31377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
ex6_1_3.bch,999,40,0,0,0,0,0,0,0,0,143,0,0,28284,0,0,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
ex6_1_3.bch,1337,45,0,0,0,0,0,0,0,0,144,0,0,11458,0,0,6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hs103,7,54,0,0,0,0,0,0,0,0,173,0,0,13867,0,0,8917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0
hs103,42,54,0,0,0,0,0,0,0,0,173,0,0,14032,0,0,9230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0
hs103,999,54,0,0,0,0,0,0,0,0,173,0,0,13319,0,0,8574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,0,0
hs103,1337,54,0,0,0,0,0,0,0,0,170,0,0,14381,0,0,8974,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,5,0,0
ex14_2_7.bch,7,54793,15,0,0,0,0,0,0,0,13989,5,0,44686,7,0,0,0,0,32,0,0,0,0,0,0,0,0,17,0,0,16,0,0,0,0,0
ex14_2_7.bch,42,34,0,0,0,0,0,0,0,0,152,0,0,16528,2,0,0,0,0,6,0,0,0,0,0,0,0,0,19,0,0,33,0,0,0,0,0
ex14_2_7.bch,999,1786530,550,0,1,0,0,0,0,0,113808,26,0,42237,6,0,0,0,0,26,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0
ex14_2_7.bch,1337,653,0,0,0,0,0,0,0,0,751,0,0,47487,7,0,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,31,0,0,0,0,0
optmass,7,106,0,0,32,0,0,0,0,0,0,0,0,1729,0,0,8059,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,42,106,0,0,32,0,0,0,0,0,0,0,0,1728,0,0,8058,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,999,104,0,0,31,0,0,0,0,0,0,0,0,1732,0,0,8146,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
optmass,1337,101,0,0,34,0,0,0,0,0,0,0,0,1727,0,0,8124,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,7,798,0,0,0,0,0,0,0,0,1308,0,0,183,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ex2_1_7,42,729,0,0,0,0,0,0,0,0,571,0,0,917,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
