Problema,Semilla,Tiempo_CPU,Nodos,Estatus
ex14_2_7.bch,7,26.9128340001,13008,optimization successful!
ex14_2_7.bch,15,26.6991590001,12970,optimization successful!
ex14_2_7.bch,252,14.2854960001,6894,optimization successful!
ex14_2_7.bch,500,23.7246440001,11744,optimization successful!
ex14_2_7.bch,850,22.3459920001,10802,optimization successful!
ex14_2_7.bch,999,23.0427850001,11194,optimization successful!
ex14_2_7.bch,1234,22.3207460001,10810,optimization successful!
ex14_2_7.bch,1337,25.8991130001,12806,optimization successful!
ex14_2_7.bch,1500,23.8613010001,11654,optimization successful!
ex14_2_7.bch,1723,26.8601240001,13054,optimization successful!
batch,7,267.584969001,25840,optimization successful!
batch,15,265.324145001,25708,optimization successful!
batch,252,243.068467001,22694,optimization successful!
batch,500,258.401549001,24986,optimization successful!
batch,850,267.133405001,25766,optimization successful!
batch,999,283.391490001,26778,optimization successful!
batch,1234,263.423436001,25088,optimization successful!
batch,1337,257.664077001,24648,optimization successful!
batch,1500,287.840643001,27368,optimization successful!
batch,1723,271.811375001,26048,optimization successful!
himmel16.bch,7,11.2141910001,4330,optimization successful!
himmel16.bch,15,5.52750400001,1930,optimization successful!
himmel16.bch,252,10.9365680001,4558,optimization successful!
himmel16.bch,500,5.09800100001,1842,optimization successful!
himmel16.bch,850,5.85362000001,2112,optimization successful!
himmel16.bch,999,4.78751800001,1638,optimization successful!
himmel16.bch,1234,10.9729260001,4352,optimization successful!
himmel16.bch,1337,13.4477020001,5442,optimization successful!
himmel16.bch,1500,5.81997400001,2134,optimization successful!
himmel16.bch,1723,8.15702200001,3156,optimization successful!
hs108,7,58.8736910001,36618,optimization successful!
hs108,15,64.7422260001,41638,optimization successful!
hs108,252,59.2770630001,37300,optimization successful!
hs108,500,70.1670600001,48352,optimization successful!
hs108,850,67.9574220001,40842,optimization successful!
hs108,999,65.7433310001,39974,optimization successful!
hs108,1234,56.5945530001,37046,optimization successful!
hs108,1337,64.0788370001,43160,optimization successful!
hs108,1500,59.4530570001,37094,optimization successful!
hs108,1723,58.6669600001,37360,optimization successful!
hs088,7,41.6843280001,1358,optimization successful!
hs088,15,39.2707610001,1278,optimization successful!
hs088,252,40.7146660001,1348,optimization successful!
hs088,500,40.2146840001,1338,optimization successful!
hs088,850,40.6778590001,1336,optimization successful!
hs088,999,41.6700060001,1388,optimization successful!
hs088,1234,41.9952920001,1376,optimization successful!
hs088,1337,38.9416840001,1262,optimization successful!
hs088,1500,41.9848440001,1368,optimization successful!
hs088,1723,42.1457870001,1374,optimization successful!
hs093,7,270.159139001,448154,optimization successful!
hs093,15,266.556894001,441348,optimization successful!
hs093,252,269.799601001,447450,optimization successful!
hs093,500,248.363449001,389116,optimization successful!
hs093,850,276.930679001,452690,optimization successful!
hs093,999,248.575988001,390794,optimization successful!
hs093,1234,251.484217001,396968,optimization successful!
hs093,1337,252.318951001,397108,optimization successful!
hs093,1500,267.985422001,443998,optimization successful!
hs093,1723,269.718876001,445396,optimization successful!
dualc8,7,189.656469001,185392,optimization successful!
dualc8,15,188.399555001,186810,optimization successful!
dualc8,252,192.679574001,190398,optimization successful!
dualc8,500,191.665268001,188696,optimization successful!
dualc8,850,190.453269001,186600,optimization successful!
dualc8,999,190.153590001,186114,optimization successful!
dualc8,1234,191.166140001,188142,optimization successful!
dualc8,1337,189.226248001,184680,optimization successful!
dualc8,1500,190.561095001,187224,optimization successful!
dualc8,1723,190.757839001,188472,optimization successful!
ex8_4_4bis.bch,7,43.8143270001,76722,optimization successful!
ex8_4_4bis.bch,15,43.5684420001,75006,optimization successful!
ex8_4_4bis.bch,252,44.7869110001,77644,optimization successful!
ex8_4_4bis.bch,500,45.2517920001,79758,optimization successful!
ex8_4_4bis.bch,850,45.0572260001,80412,optimization successful!
ex8_4_4bis.bch,999,44.3499050001,78042,optimization successful!
ex8_4_4bis.bch,1234,43.9523200001,76876,optimization successful!
ex8_4_4bis.bch,1337,44.1357940001,77236,optimization successful!
ex8_4_4bis.bch,1500,44.4372290001,76978,optimization successful!
ex8_4_4bis.bch,1723,44.8598910001,78312,optimization successful!
ex6_1_3.bch,7,40.6503200001,14990,optimization successful!
ex6_1_3.bch,15,41.5700450001,14328,optimization successful!
ex6_1_3.bch,252,41.9072600001,14564,optimization successful!
ex6_1_3.bch,500,44.0697570001,15460,optimization successful!
ex6_1_3.bch,850,44.0135260001,15070,optimization successful!
ex6_1_3.bch,999,48.0202320001,16862,optimization successful!
ex6_1_3.bch,1234,43.2534930001,14542,optimization successful!
ex6_1_3.bch,1337,40.1395350001,14016,optimization successful!
ex6_1_3.bch,1500,42.9838830001,15258,optimization successful!
ex6_1_3.bch,1723,41.8432650001,14602,optimization successful!
hs117,7,48.9706800001,16842,optimization successful!
hs117,15,51.0880750001,17872,optimization successful!
hs117,252,48.7059830001,16918,optimization successful!
hs117,500,48.6202050001,16760,optimization successful!
hs117,850,51.3355430001,17592,optimization successful!
hs117,999,48.2270590001,16690,optimization successful!
hs117,1234,48.0266370001,16446,optimization successful!
hs117,1337,51.7069470001,17940,optimization successful!
hs117,1500,53.1959880001,18472,optimization successful!
